Inventory columns are filtered by your list filter: Shipping Method per row (inventory cropped to each row's shipping-from warehouse),,,,,,,,,,,,,,,,,,,,,,,,,,
Product Title,Product Image,SKU,Specification,Shipping From,Inventory,Available Inventory,CJ Inventory (Total),Factory Inventory (Total),My Inventory (Total),China Warehouse-CJ Inventory (Total),US Warehouse-CJ Inventory (Total),Spain Warehouse-CJ Inventory (Total),US Warehouse-verified-Factory Inventory,China Warehouse-unVerified-Factory Inventory,Product Base Price ($),Shipping Fee ($),Total Cost ($),Added Time,Price Updated,Price Change,Price Update Time,SKU Dimensions (mm),SKU Weight (g),SKU Packing Weight (g),Pickup Supported,Product Status
Makeup box make-up set,https://cf.cjdropshipping.com/20190417/140005871899.png,CJBJHZCZ00186-50ml,50ml,CN,14363,14363,0,14363,0,0,0,0,0,14363,2.23,0,2.23,1786727823421,No,--,--,200*100*30,254,290,Yes,On Sale
PHOFAY Ultra-Glossy Lip Gloss Nude Lipliner Kit,https://cf.cjdropshipping.com/17312832/1855823793000550400.jpg,CJKH219064201AZ,01 Set,CN,14699,14699,0,14699,0,0,0,0,0,14699,9.700,0,9.70,1786726679441,No,--,--,200*120*50,150,150,Yes,On Sale
Beauty Salon Use Wet And Dry Powder Puff,https://cf.cjdropshipping.com/quick/product/7d846f25-bd0f-4c6a-be18-03fe6b6c62c2.jpg,CJMB205930201AZ,Skin Color,CN,14471,14471,0,14471,0,0,0,0,0,14471,0.86,0,0.86,1786727954895,No,--,--,100*100*30,3,13,Yes,On Sale
Beauty Salon Use Wet And Dry Powder Puff,https://cf.cjdropshipping.com/quick/product/3d4bbbf7-a503-4579-b3df-423c44bc41bb.jpg,CJMB205930202BY,Blue,CN,13105,13105,0,13105,0,0,0,0,0,13105,0.86,0,0.86,1786727954895,No,--,--,100*100*30,3,13,Yes,On Sale
Beauty Salon Use Wet And Dry Powder Puff,https://cf.cjdropshipping.com/quick/product/a89c5bf5-9d74-4f21-9aa5-871a8401670c.jpg,CJMB205930203CX,Pink,CN,14701,14701,0,14701,0,0,0,0,0,14701,0.86,0,0.86,1786727954895,No,--,--,100*100*30,3,13,Yes,On Sale
Beauty Salon Use Wet And Dry Powder Puff,https://cf.cjdropshipping.com/quick/product/9c9ca964-8ee8-4ed5-9aee-18c7eefc1bc1.jpg,CJMB205930204DW,Green,CN,14344,14344,0,14344,0,0,0,0,0,14344,0.87,0,0.87,1786727954895,No,--,--,100*100*30,3,13,Yes,On Sale
Beauty Salon Use Wet And Dry Powder Puff,https://cf.cjdropshipping.com/quick/product/5cd8c08e-21e6-48cf-be44-aaac56a50e14.jpg,CJMB205930205EV,Brown,CN,12872,12872,0,12872,0,0,0,0,0,12872,0.87,0,0.87,1786727954895,No,--,--,100*100*30,3,13,Yes,On Sale
Nownoon Collagen Retinol Hyaluronic Acid Cream,https://oss-cf.cjdropshipping.com/product/2026/04/11/06/401e5e11-336b-47cc-95db-198344dec958.jpg,CJYD205312301AZ,55ml,CN,12885,12885,1072,11813,0,1072,0,0,0,11813,2.19,0,2.19,1786728114990,No,--,--,120*100*100,164,187,Yes,On Sale
Waterproof And Smooth Not Smudge Four-fork Liquid Eyebrow Pencil,https://cf.cjdropshipping.com/quick/product/d5daa131-a997-48db-86dd-c2323b0f5cfe.jpg,CJYD203032401AZ,No1 Light Brown,CN,12952,12952,0,12952,0,0,0,0,0,12952,1.51,0,1.51,1786728070091,No,--,--,140*50*30,16,34,Yes,On Sale
Waterproof And Smooth Not Smudge Four-fork Liquid Eyebrow Pencil,https://cf.cjdropshipping.com/quick/product/2da0f46b-baa2-4152-9f5a-a102da61c548.jpg,CJYD203032402BY,NO2 Dark Coffee,CN,12260,12260,44,12216,0,44,0,0,0,12216,1.51,0,1.51,1786728070091,No,--,--,140*50*30,16,34,Yes,On Sale
